label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10
2	187 m/s	0.3806	sAN jOSE	bird	0.2359	1.0186	1.111	508	615	489	0.4353
3	592 m/s	0.2798	San Francisco	fish	0.9508	0.8774	0.8193	1071	810	405	0.6212
2	67 m/s	0.2322	San Jose	dog, rat	0.3709	0.9384	0.9946	560	966	71	0.2181
2	119 m/s	0.1558	?	rat, ferret	0.0691	0.8703	1.047	531	1135	201	0.0449
2	344 m/s	0.2795	Anaheim	ferret, rat	0.2196	0.6627	0.8959	557	955	170	0.2119
4	903 m/s	0.6246	Stockton	rabbit	0.4373	0.3545	-0.0455	-27	189	796	0.6362
4	995 m/s	0.7849	Fresno	rabbit	0.1763	0.3682	0.1499	107	51	1071	0.7201
4	771 m/s	0.5706	San Bernardino	chicken	0.3673	0.458	-0.025	-62	400	995	0.6266
5	936 m/s	0.8033	Bakersfield	bird	0.7549	0.1587	0.1367	203	382	591	0.5388
2	147 m/s	0.1392	Riverside	rat	-0.0881	0.975	0.9438	424	859	172	0.2913
2	150 m/s	0.3107	Anaheim	ferret	0.2622	0.8912	1.0048	705	657	-65	0.259
5	1117 m/s	0.5994	Santa Ana	bird	0.9383	0.1564	0.108	498	859	588	0.4843
4	541 m/s	0.6017	Oakland	chicken	0.1666	0.4195	0.0922	372	380	1002	0.6655
3	452 m/s	-0.08	Moreno Valley	fish	0.8402	0.8036	0.7232	885	806	388	0.5973
2	249 m/s	0.4511	Anaheim	rabbit	0.1429	1.0879	0.8273	554	1006	174	0.3532
5	839 m/s	1.0144	Bakersfield	bird	1.0188	0.339	0.311	152	836	444	0.3502
0	739 m/s	0.612	Modesto	pig	0.348	0.3399	0.9708	886	74	897	-0.0034
1	216 m/s	0.4667	Santa Clarita	guinea pig	0.6768	0.4462	0.3151	468	73	142	1.1333
1	306 m/s	0.3821	Irvine	guinea pig, hamster	0.3942	0.4801	0.3771	196	210	245	1.0684
4	653 m/s	0.8488	San Bernardino	rabbit	0.3071	0.4246	0.1534	0	125	925	0.7664
4	677 m/s	0.6439	Riverside	rabbit	0.3051	0.3187	0.1014	-12	460	900	0.6767
2	39 m/s	0.0424	Riverside	ferret, dog	0.2573	0.8656	0.9047	228	551	128	0.1969
1	358 m/s	0.5717	Irvine	guinea pig, reptile	0.5373	0.6354	0.3065	-31	162	271	1.0464
0	477 m/s	0.9051	Modesto	pig	0.3422	N/A	0.8397	704	593	717	0.2427
5	1172 m/s	0.8737	Sacramento	Cat	0.9625	0.003	0.2677	345	461	590	0.384
1	256 m/s	0.5282	Irvine	fish	0.3505	0.5911	0.08	61	12	223	0.684
5	994 m/s	0.99	Modesto	cat	0.7366	0.1449	0.4687	453	472	487	0.3879
4	770 m/s	0.6721	San Bernardino	rabbit	0.324	0.3675	0.0875	299	331	978	0.7392
4	582 m/s	0.582	Chula Vista	rabbit	0.5095	0.4609	0.2101	368	496	959	0.5415
4	None	0.7433	San Bernardino	rabbit	0.2978	0.3167	0.0694	22	435	780	0.8701
5	869 m/s	0.9769	Bakersfield	bird	0.7891	0.2926	0.4836	401	629	574	0.4276
1	356 m/s	0.5048	Modesto	guinea pig	0.7789	0.5191	0.6311	492	-316	272	0.9243
3	524 m/s	-0.0653	Moreno Valley	hamster	1.0193	0.578	0.5785	792	922	480	0.4706
1	173 m/s	0.4902	Irvine	hamster, reptile	0.4084	0.4904	0.1879	333	-77	216	1.0469
0	554 m/s	0.6975	Santa Clarita	?	0.4807	0.3516	0.5941	804	428	805	0.0282
3	490 m/s	0.0699	Santa Ana	fish	0.9487	0.7358	0.6238	865	830	400	0.8902
5	875 m/s	0.9474	San Diego	cat	0.8856	0.0502	0.6049	356	526	710	0.3981
5	776 m/s	0.9512	SACRAMENTO	cat	0.6851	0.0767	0.0	223	987	310	0.3646
5	1095 m/s	1.1345	Bakersfield	cat	1.1073	0.1679	0.1918	578	579	673	0.4712
